Parish,2013,2012,2011,2010,2009,2008,2007,2006,2005
Acadia,12,7,16,13,14,13,13,14,14
Allen,3,5,2,2,1,10,6,7,11
Ascension,23,17,15,16,17,20,22,27,20
Assumption,4,4,8,10,7,8,2,9,3
Avoyelles,8,5,10,8,5,7,10,10,17
Beauregard,5,3,8,7,9,9,6,7,13
Bienville,2,4,3,10,5,5,5,7,4
Bossier,8,11,8,17,9,16,16,13,14
Caddo,28,32,36,31,35,32,45,37,41
Calcasieu,20,32,18,27,38,44,37,60,41
Caldwell,1,2,3,2,4,4,4,1,3
Cameron,1,0,1,1,2,3,9,3,4
Catahoula,1,9,0,3,4,4,5,3,3
Claiborne,2,3,3,5,0,2,7,5,3
Concordia,6,8,4,7,1,7,6,2,4
DeSoto,4,6,8,8,6,11,11,9,8
East Baton Rouge,39,51,46,41,47,46,57,51,52
East Carroll,1,0,0,1,0,1,3,2,3
East Feliciana,2,8,2,3,6,6,5,6,6
Evangeline,6,9,5,10,8,10,4,9,9
Franklin,2,2,4,3,3,4,5,4,6
Grant,1,6,5,5,5,4,7,3,7
Iberia,14,8,16,10,8,15,18,22,17
Iberville,6,9,9,13,16,9,12,15,6
Jackson,3,2,1,3,3,5,2,1,6
Jefferson,21,27,18,14,28,31,45,51,36
Jefferson Davis,7,6,6,9,5,15,13,12,12
Lafayette,34,27,22,26,26,34,37,36,32
Lafourche,22,18,16,18,17,29,25,26,20
LaSalle,2,4,4,5,5,2,4,0,4
Lincoln,8,8,10,7,8,12,11,10,12
Livingston,23,24,22,10,21,40,25,29,29
Madison,2,1,4,7,3,4,6,4,11
Morehouse,9,6,8,6,3,4,9,6,11
Natchitoches,10,8,11,11,16,10,15,7,6
Orleans,51,29,32,24,43,35,39,20,33
Ouachita,22,6,21,17,13,23,19,23,21
Plaquemines,3,3,3,4,3,5,5,7,7
Pointe Coupee,5,5,5,7,10,7,10,6,14
Rapides,16,20,24,18,29,16,22,17,22
Red River,4,3,2,9,8,6,1,2,1
Richland,4,2,5,1,2,4,5,7,13
Sabine,11,6,9,5,4,5,9,8,8
St. Bernard,6,2,4,5,3,3,5,4,6
St. Charles,10,9,7,11,10,8,16,16,8
St. Helena,5,4,4,3,5,8,8,7,4
St. James,7,10,2,5,4,9,7,7,7
St. John the Baptist,12,10,3,8,4,16,9,22,12
St. Landry,19,19,24,14,21,15,24,27,21
St. Martin,12,11,10,14,16,8,12,16,17
St. Mary,10,9,9,13,10,9,15,13,9
St. Tammany,20,25,27,17,33,39,44,50,48
Tangipahoa,25,35,21,24,33,34,37,37,43
Tensas,1,1,0,0,2,0,0,0,0
Terrebonne,20,17,11,21,27,29,27,27,17
Union,5,9,5,5,7,7,6,4,8
Vermilion,4,11,11,13,9,8,14,13,9
Vernon,13,11,13,8,10,13,12,6,12
Washington,9,4,9,9,9,12,8,17,14
Webster,5,5,7,8,6,8,8,5,7
West Baton Rouge,9,10,4,3,15,6,15,16,15
West Carroll,1,4,3,4,4,2,2,0,3
West Feliciana,2,0,1,1,1,4,6,2,3
Winn,0,2,2,3,3,7,8,3,5
