Hour,Access,Alcohol,Align,Day,Hit,Light,Collision,Interection,Weather,ADT,Num Lanes,Pav Width,Dr Age,Dr Cond.,Dr Distract,Dr Gender,Num Occ,Veh Year,Violations,Ped Age,Ped Cond.,Ped Inj.,Ped Gender
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - No Street Lights,Unk,FALSE,Clear,Unk,No Info.,Unk,25-34,Impaired,Unk,Female,Two,1991-2000,Driver Condition,15-24,Impaired,Fatal,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,65-74,Normal,Unk,Male,Two,1991-2000,No Violations,Unk,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Rear End,FALSE,Clear,Over 10000,Four,Very Wide,55-64,Other,Unk,Female,One,1991-2000,Careless Operation,Unk,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Over 10000,Four,Very Wide,45-54,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Impaired,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,Unk ,Improper Backing,25-34,Unk,Complaint,Female
6PM-12AM,No Control,TRUE,Straight-Level,Weekend,FALSE,Dark - Street Light,Right Angle,FALSE,Abnormal,Over 10000,Two,Wide,25-34,Normal,Unk,Female,Three,1991-2000,No Violations,45-54,Impaired,Moderate,Male
6PM-12AM,No Control,FALSE,Curve-Level,Weekday,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,5001-10000,Two,Wide,15-24,Inattentive/Distracted,Unk,Male,One,2001-2010,Careless Operation,25-34,Inattentive/Distracted,Severe,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Rear End,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,1990 and Before,Careless Operation,Unk,Unk,No Injury,Unk
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,TRUE,Dark - Street Light,Rear End,FALSE,Abnormal,Unk,No Info.,Unk,Unk,Other,Unk,Unk,One,1990 and Before,Careless Operation,Unk,Unk,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Abnormal,5001-10000,Two,Narrow,55-64,Normal,Unk,Male,Two,1991-2000,No Violations,35-44,Inattentive/Distracted,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Abnormal,2001-5000,Two,Wide,35-44,Normal,Unk,Female,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,65-74,Normal,Unk,Female,One,2001-2010,Unk,15-24,Inattentive/Distracted,Moderate,Male
6PM-12AM,No Control,FALSE,Curve-Level,Weekend,FALSE,"Dusk, Dawn",Single Vehicle,FALSE,Abnormal,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Unk,Male,Five or more,2001-2010,Unk,15-24,Normal,No Injury,Male
12PM-6PM,Unk,FALSE,Unk,Weekend,FALSE,Unk,Unk,TRUE,Unk,Unk,No Info.,Unk,15-24,Other,Unk,Male,One,2001-2010,Unk,Unk,Normal,Moderate,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,No Injury,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Abnormal,Over 10000,Two,Wide,35-44,Normal,Unk,Female,Three,1990 and Before,No Violations,35-44,Inattentive/Distracted,Moderate,Male
12AM-6AM,No Control,FALSE,Curve-Level,Weekday,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,5001-10000,Two,Wide,Unk,Other,Unk,Unk,One,Unk ,Unk,15-24,Inattentive/Distracted,Moderate,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,65-74,Inattentive/Distracted,Unk,Male,One,1991-2000,Failure To Yield,Unk,Normal,No Injury,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Right Angle,TRUE,Clear,Over 10000,Four,Very Wide,65-74,Inattentive/Distracted,Unk,Female,One,1991-2000,Disregarded Traffic Control,Unk,Unk,No Injury,Unk
12PM-6PM,Unk,TRUE,Straight-Level,Weekend,TRUE,Daylight,Right Turn,FALSE,Clear,Unk,No Info.,Unk,45-54,Impaired,Unk,Female,One,Unk ,Driver Condition,35-44,Impaired,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Abnormal,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,1990 and Before,No Violations,Unk,Inattentive/Distracted,No Injury,Male
12AM-6AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,25-34,Other,Unk,Female,Two,1991-2000,Unk,15-24,Unk,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,15-24,Other,Unk,Male,Four,2001-2010,Careless Operation,15-24,Normal,Fatal,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,TRUE,Daylight,Sideswipe,FALSE,Clear,Unk,No Info.,Unk,15-24,Other,Unk,Male,Four,2001-2010,Careless Operation,Unk,Normal,Severe,Female
6PM-12AM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,25-34,Inattentive/Distracted,Unk,Male,One,1991-2000,Driver Condition,Unk,Normal,Complaint,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Abnormal,Unk,No Info.,Unk,55-64,Inattentive/Distracted,Unk,Male,One,2001-2010,Unk,45-54,Normal,Moderate,Male
12AM-6AM,No Control,TRUE,Straight-Level,Weekend,TRUE,Dark - Street Light,Single Vehicle,TRUE,Clear,Over 10000,Four,Very Wide,Unk,Other,Unk,Unk,One,Unk ,Unk,15-24,Impaired,Moderate,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Impaired,Complaint,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Impaired,Complaint,Male
6AM-12PM,Partial Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,1991-2000,No Violations,Unk,Impaired,Complaint,Male
6PM-12AM,No Control,FALSE,Straight-Level,Weekend,FALSE,Dark - Street Light,Single Vehicle,TRUE,Clear,Unk,No Info.,Unk,25-34,Normal,Unk,Male,One,1991-2000,No Violations,15-24,Inattentive/Distracted,Moderate,Female
6AM-12PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,FALSE,Clear,Over 10000,Four,Very Wide,35-44,Normal,Unk,Male,One,1991-2000,Unk,Unk,Impaired,No Injury,Unk
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,FALSE,Abnormal,5001-10000,Two,Very Wide,35-44,Other,Unk,Female,One,1991-2000,No Violations,Unk,Inattentive/Distracted,Severe,Male
12PM-6PM,No Control,FALSE,Straight-Level,Weekday,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,2001-2010,No Violations,15-24,Impaired,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Unk,TRUE,Clear,Unk,No Info.,Unk,55-64,Normal,Unk,Female,Two,1991-2000,No Violations,Unk,Impaired,Complaint,Female
12PM-6PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Right Angle,TRUE,Clear,Over 10000,Two,Very Wide,35-44,Normal,Unk,Male,Three,2001-2010,No Violations,25-34,Inattentive/Distracted,Complaint,Male
6AM-12PM,No Control,FALSE,Straight-Level,Weekend,FALSE,Daylight,Single Vehicle,FALSE,Clear,Unk,No Info.,Unk,35-44,Normal,Unk,Male,One,2001-2010,No Violations,15-24,Inattentive/Distracted,Moderate,Male
6PM-12AM,Full Control,FALSE,On Grade,Weekday,FALSE,Dark - No Street Lights,Unk,FALSE,Clear,Over 10000,Four,Very Wide,15-24,Normal,Unk,Male,Two,1991-2000,No Violations,35-44,Impaired,Severe,Female
